"SITE_ID","RT_NLA","EPA_REG","WSA_ECO9","LAKE_ORIGIN","PTL","NTL","CHLA","SECMEAN"
"NLA06608-1893","TRASH","Region_9","XER","MAN-MADE",302,581,6.94,0.19
"NLA06608-1906","SO-SO","Region_1","NAP","MAN-MADE",14,368,2.1,1.33
"NLA06608-1908","SO-SO","Region_5","SAP","MAN-MADE",10,185,0.94,4.95
"NLA06608-1910","REF","Region_5","UMW","NATURAL",37,830,22.24,0.8
"NLA06608-1930","SO-SO","Region_10","XER","MAN-MADE",31,178,1.48,3.3
"NLA06608-1936","SO-SO","Region_7","TPL","MAN-MADE",89,788,31.4,0.4
"NLA06608-1948","SO-SO","Region_7","SPL","NATURAL",486,2981,20.88,0.84
"NLA06608-1953","SO-SO","Region_8","WMT","NATURAL",15,226,9.17,2.13
"NLA06608-1958","SO-SO","Region_10","WMT","MAN-MADE",10,18,0.67,4.63
"NLA06608-1959","SO-SO","Region_8","TPL","MAN-MADE",493,1494,17.49,0.51
"NLA06608-1960","SO-SO","Region_6","TPL","MAN-MADE",108,403,14.85,0.3
"NLA06608-1968","SO-SO","Region_8","NPL","MAN-MADE",255,2076,94.93,0.24
"NLA06608-1975","SO-SO","Region_7","TPL","NATURAL",18,739,4.98,2.46
"NLA06608-1985","REF","Region_10","WMT","NATURAL",3,27,0.66,10.45
"NLA06608-1989","SO-SO","Region_10","XER","MAN-MADE",71,658,17.12,1.45
"NLA06608-1992","TRASH","Region_6","CPL","MAN-MADE",108,2041,104.4,0.4
"NLA06608-1998","REF","Region_5","UMW","NATURAL",13,430,3.32,2.75
"NLA06608-2005","TRASH","Region_10","XER","MAN-MADE",276,1398,194.4,0.3
"NLA06608-2007","SO-SO","Region_8","TPL","NATURAL",59,1331,6.72,1.11
"NLA06608-2010","SO-SO","Region_4","CPL","MAN-MADE",24,494,14.3,1.61
"NLA06608-2027","SO-SO","Region_8","WMT","MAN-MADE",49,551,3.95,1.13
"NLA06608-2036","SO-SO","Region_7","TPL","NATURAL",11,278,4.41,1.56
"NLA06608-2037","SO-SO","Region_9","XER","MAN-MADE",175,1190,19.2,0.42
"NLA06608-2039","TRASH","Region_7","TPL","NATURAL",277,4691,338.4,0.13
"NLA06608-2049","SO-SO","Region_8","WMT","NATURAL",5,276,1.42,4.15
"NLA06608-2056","TRASH","Region_7","TPL","MAN-MADE",572,2082,92.16,0.37
"NLA06608-2072","SO-SO","Region_6","CPL","MAN-MADE",78,1134,105.84,0.68
"NLA06608-2074","SO-SO","Region_4","CPL","MAN-MADE",72,1004,61.09,0.65
"NLA06608-2076","SO-SO","Region_6","SAP","MAN-MADE",11,124,3.59,1.93
"NLA06608-2078","SO-SO","Region_5","UMW","NATURAL",7,569,8.64,2.59
"NLA06608-2082","SO-SO","Region_10","WMT","MAN-MADE",17,496,3.57,2.1
"NLA06608-2086","SO-SO","Region_1","NAP","NATURAL",5,276,1.59,4.15
"NLA06608-2087","SO-SO","Region_8","TPL","NATURAL",197,2859,64.51,0.34
"NLA06608-2091","REF","Region_4","CPL","MAN-MADE",53,401,20.43,0.99
"NLA06608-2092","TRASH","Region_6","CPL","MAN-MADE",135,1804,84.96,0.43
"NLA06608-2094","SO-SO","Region_6","CPL","MAN-MADE",35,438,20.64,1.07
"NLA06608-2095","SO-SO","Region_8","XER","MAN-MADE",48,316,2.89,0.79
"NLA06608-2103","SO-SO","Region_8","NPL","NATURAL",170,3503,8.13,0.79
"NLA06608-2114","SO-SO","Region_3","SAP","MAN-MADE",1,402,3.41,2.7
"NLA06608-2117","SO-SO","Region_4","CPL","NATURAL",169,5572,149.6,0.25
"NLA06608-2120","SO-SO","Region_6","SPL","MAN-MADE",28,869,13.47,1.16
"NLA06608-2123","TRASH","Region_8","TPL","NATURAL",613,3009,166.63,0.24
"NLA06608-2131","SO-SO","Region_8","NPL","NATURAL",14,1820,13.44,0.43
"NLA06608-2134","SO-SO","Region_10","WMT","MAN-MADE",21,211,6.15,1.71
"NLA06608-2135","SO-SO","Region_8","TPL","NATURAL",24,1117,15.22,1.45
"NLA06608-2152","SO-SO","Region_7","SAP","MAN-MADE",29,535,23.83,1.61
"NLA06608-2154","SO-SO","Region_4","CPL","MAN-MADE",112,1007,46.4,0.59
"NLA06608-2155","SO-SO","Region_5","UMW","NATURAL",1,644,1.46,2.5
"NLA06608-2162","SO-SO","Region_1","NAP","NATURAL",21,295,3.74,2.48
"NLA06608-2177","SO-SO","Region_8","WMT","NATURAL",3,334,1.39,5.45
"NLA06608-2185","SO-SO","Region_9","XER","MAN-MADE",15,188,4.2,2.6
"NLA06608-2187","TRASH","Region_4","SAP","MAN-MADE",20,366,14.96,1.25
"NLA06608-2196","SO-SO","Region_5","SAP","MAN-MADE",15,407,3.38,2.65
"NLA06608-2217","REF","Region_9","WMT","MAN-MADE",9,300,2.79,2.98
"NLA06608-2219","TRASH","Region_5","UMW","MAN-MADE",33,634,20.52,1.17
"NLA06608-2241","SO-SO","Region_10","WMT","NATURAL",9,256,1.13,5.63
"NLA06608-2250","SO-SO","Region_8","WMT","NATURAL",11,140,0.7,9.4
"NLA06608-2253","SO-SO","Region_3","CPL","MAN-MADE",86,3591,30.08,0.87
"NLA06608-2257","SO-SO","Region_10","WMT","NATURAL",6,214,1.91,4.72
"NLA06608-2266","SO-SO","Region_8","NPL","MAN-MADE",21,350,1.62,2
"NLA06608-2267","REF","Region_5","UMW","NATURAL",25,793,8.5,1.75
"NLA06608-2283","SO-SO","Region_5","UMW","NATURAL",7,559,3.43,3.15
"NLA06608-2305","SO-SO","Region_10","WMT","NATURAL",9,329,6.54,2.31
"NLA06608-2322","SO-SO","Region_8","XER","MAN-MADE",31,388,3.57,3.4
"NLA06608-2332","TRASH","Region_7","SPL","MAN-MADE",318,779,14.29,1.1
"NLA06608-2333","SO-SO","Region_3","CPL","MAN-MADE",75,2311,68.88,1.06
"NLA06608-2345","TRASH","Region_8","XER","MAN-MADE",15,391,3.04,1.25
"NLA06608-2354","SO-SO","Region_1","NAP","NATURAL",12,331,7.78,2.63
"NLA06608-2372","SO-SO","Region_9","XER","MAN-MADE",54,439,4.84,1
"NLA06608-2379","TRASH","Region_8","XER","MAN-MADE",12,2076,1.42,5.05
"NLA06608-2418","SO-SO","Region_1","NAP","MAN-MADE",35,366,24.32,1.12
"NLA06608-2426","TRASH","Region_8","NPL","NATURAL",1697,25663,69.6,0.38
"NLA06608-2429","REF","Region_8","XER","MAN-MADE",9,133,2.45,4.65
"NLA06608-2438","TRASH","Region_10","XER","MAN-MADE",636,1674,4.64,0.11
"NLA06608-2450","SO-SO","Region_10","WMT","NATURAL",3,148,0.9,7.48
"NLA06608-2453","TRASH","Region_9","XER","MAN-MADE",283,765,4.59,0.3
"NLA06608-2457","SO-SO","Region_8","WMT","MAN-MADE",16,314,3.69,2.35
"NLA06608-2463","SO-SO","Region_8","XER","MAN-MADE",6,183,1.58,5.25
"NLA06608-2477","TRASH","Region_9","XER","MAN-MADE",32,1238,1.83,1.2
"NLA06608-2481","SO-SO","Region_10","WMT","MAN-MADE",36,421,0.95,3.98
"NLA06608-2492","REF","Region_4","CPL","MAN-MADE",33,337,19.36,0.86
"NLA06608-2497","SO-SO","Region_10","WMT","MAN-MADE",64,868,20.91,0.7
"NLA06608-2507","SO-SO","Region_5","TPL","MAN-MADE",34,1101,38.02,0.82
"NLA06608-2513","SO-SO","Region_10","WMT","NATURAL",5,259,3.54,5.19
"NLA06608-2523","SO-SO","Region_5","UMW","NATURAL",56,1259,13.5,0.79
"NLA06608-2524","SO-SO","Region_6","CPL","NATURAL",33,580,41.9,0.98
"NLA06608-2565","SO-SO","Region_4","CPL","NATURAL",19,410,7.1,1.15
"NLA06608-2593","SO-SO","Region_4","CPL","NATURAL",41,1337,38.2,0.55
"NLA06608-2629","TRASH","Region_4","CPL","NATURAL",66,1188,27.16,0.5
"NLA06608-2640","SO-SO","Region_7","SPL","MAN-MADE",48,1113,25.12,1
"NLA06608-2644","SO-SO","Region_5","TPL","MAN-MADE",121,1240,4.43,0.41
"NLA06608-2655","TRASH","Region_8","XER","MAN-MADE",102,2286,29.46,1.65
"NLA06608-2673","SO-SO","Region_10","WMT","NATURAL",72,423,1.33,5.5
"NLA06608-2685","SO-SO","Region_8","WMT","MAN-MADE",7,169,2.43,2.45
"NLA06608-2696","SO-SO","Region_6","SPL","MAN-MADE",75,733,41.76,0.75
"NLA06608-2704","SO-SO","Region_6","SPL","MAN-MADE",105,1672,25.88,0.25
"NLA06608-2708","SO-SO","Region_5","SAP","MAN-MADE",12,388,5.16,2.4
"NLA06608-2714","SO-SO","Region_8","WMT","MAN-MADE",8,216,9.07,3.85
"NLA06608-2715","SO-SO","Region_7","SPL","MAN-MADE",36,369,4.75,0.52
"NLA06608-2726","SO-SO","Region_10","WMT","NATURAL",5,191,1.18,6.99
"NLA06608-2740","SO-SO","Region_7","SPL","MAN-MADE",121,359,11.37,0.65
"NLA06608-2753","TRASH","Region_10","XER","NATURAL",16,1496,3.39,2.67
"NLA06608-2776","SO-SO","Region_6","SPL","MAN-MADE",36,1144,13.86,0.79
"NLA06608-2779","SO-SO","Region_5","UMW","NATURAL",21,713,6,1.85
"NLA06608-2797","SO-SO","Region_9","XER","MAN-MADE",24,664,2.02,2.13
"NLA06608-2800","SO-SO","Region_8","NPL","MAN-MADE",11,235,2.41,4
"NLA06608-2801","SO-SO","Region_10","XER","MAN-MADE",36,339,6.82,0.35
"NLA06608-2823","SO-SO","Region_6","CPL","MAN-MADE",31,751,24.32,1.08
"NLA06608-2824","SO-SO","Region_7","SPL","MAN-MADE",208,794,25.28,0.8
"NLA06608-2831","TRASH","Region_4","SAP","MAN-MADE",107,738,37.6,0.48
"NLA06608-2833","SO-SO","Region_10","XER","MAN-MADE",16,640,3.06,4.39
"NLA06608-2874","REF","Region_8","NPL","MAN-MADE",76,487,3.94,4.2
"NLA06608-2881","SO-SO","Region_8","WMT","NATURAL",1,50,0.89,6.95
"NLA06608-2889","TRASH","Region_9","XER","MAN-MADE",577,1476,1.77,8.2
"NLA06608-2891","SO-SO","Region_5","UMW","NATURAL",8,790,7.2,3
"NLA06608-2916","TRASH","Region_5","TPL","MAN-MADE",15,324,1.98,3.3
"NLA06608-2924","SO-SO","Region_6","SPL","MAN-MADE",13,693,12.64,1.21
"NLA06608-2954","TRASH","Region_10","XER","NATURAL",876,7684,136.66,1.58
"NLA06608-2955","SO-SO","Region_4","SAP","MAN-MADE",58,513,32.98,0.74
"NLA06608-2972","TRASH","Region_7","SPL","NATURAL",347,5350,145,0.16
"NLA06608-2987","SO-SO","Region_5","UMW","NATURAL",29,1336,15.18,0.99
"NLA06608-2996","TRASH","Region_6","SPL","MAN-MADE",130,1440,16.64,0.28
"NLA06608-3032","TRASH","Region_6","SPL","MAN-MADE",94,1543,44.93,0.29
"NLA06608-3035","SO-SO","Region_5","UMW","NATURAL",7,738,3.25,3.65
"NLA06608-3083","SO-SO","Region_6","CPL","MAN-MADE",96,685,20.64,1.18
"NLA06608-3096","SO-SO","Region_6","CPL","MAN-MADE",17,559,9.87,2.49
"NLA06608-3121","SO-SO","Region_10","WMT","MAN-MADE",46,455,14.64,1.55
"NLA06608-3147","SO-SO","Region_5","UMW","NATURAL",46,999,37.66,1.05
"NLA06608-3153","SO-SO","Region_10","WMT","NATURAL",1,116,1.5,7
"NLA06608-3157","SO-SO","Region_10","WMT","MAN-MADE",8,70,2.21,2.3
"NLA06608-3160","TRASH","Region_7","TPL","MAN-MADE",237,2655,271.44,0.27
"NLA06608-3169","SO-SO","Region_4","CPL","NATURAL",105,1200,54.43,0.45
"NLA06608-3228","SO-SO","Region_6","SPL","MAN-MADE",74,658,8.7,0.82
"NLA06608-3265","SO-SO","Region_10","WMT","NATURAL",7,338,1.77,6.27
"NLA06608-3303","TRASH","Region_6","SPL","MAN-MADE",81,1535,35.42,0.79
"NLA06608-3313","SO-SO","Region_10","XER","MAN-MADE",41,316,7.73,0.97
"NLA06608-3320","SO-SO","Region_6","SAP","MAN-MADE",88,612,19.07,0.4
"NLA06608-3329","SO-SO","Region_10","WMT","NATURAL",10,374,3.7,2.88
"NLA06608-3480","SO-SO","Region_6","SPL","MAN-MADE",88,1612,38.88,0.59
"NLA06608-3484","SO-SO","Region_7","SPL","NATURAL",180,4319,83.5,0.16
"NLA06608-3608","SO-SO","Region_7","TPL","MAN-MADE",191,1821,52.85,0.69
"NLA06608-3616","SO-SO","Region_6","SPL","MAN-MADE",15,455,1.69,1.3
"NLA06608-3644","SO-SO","Region_7","SPL","NATURAL",58,2063,19.2,0.52
"NLA06608-3656","TRASH","Region_7","SPL","NATURAL",471,5813,428,0.23
"NLA06608-3660","TRASH","Region_7","SPL","MAN-MADE",1329,2263,5.25,0.05
"NLA06608-3698","REF","Region_1","NAP","MAN-MADE",6,300,4.59,2.56
"NLA06608-3846","REF","Region_1","NAP","NATURAL",3,110,0.9,4.79
"NLA06608-3890","SO-SO","Region_1","NAP","NATURAL",1,98,2.77,3.9
"NLA06608-3911","REF","Region_6","CPL","MAN-MADE",43,643,29.12,0.73
"NLA06608-4056","SO-SO","Region_6","SPL","MAN-MADE",75,651,8.08,1
"NLA06608-4064","SO-SO","Region_6","SPL","MAN-MADE",47,770,10.19,0.9
"NLA06608-4206","SO-SO","Region_6","SPL","MAN-MADE",61,1627,66.96,0.62
"NLA06608-4252","SO-SO","Region_1","NAP","NATURAL",1,188,1.47,4.95
"NLA06608-4320","TRASH","Region_6","SPL","MAN-MADE",177,1871,2.5,0.8
"NLA06608-4382","SO-SO","Region_6","SPL","MAN-MADE",35,571,12.08,0.75
"NLA06608-4413","SO-SO","Region_1","NAP","MAN-MADE",8,251,2.56,2.7
"NLA06608-4414","SO-SO","Region_6","SAP","MAN-MADE",38,480,12.1,0.88
"NLA06608-4440","SO-SO","Region_6","SPL","MAN-MADE",38,803,34.2,0.83
"NLA06608-4472","SO-SO","Region_6","SPL","MAN-MADE",282,816,29.4,0.3
"NLA06608-4504","REF","Region_6","SPL","MAN-MADE",32,680,18.51,0.88
"NLA06608-4610","REF","Region_6","SPL","MAN-MADE",22,426,5.38,1.62
"NLA06608-4643","SO-SO","Region_6","SPL","MAN-MADE",19,557,13.83,1.15
"NLA06608-4650","REF","Region_6","CPL","MAN-MADE",43,681,26.08,0.79
"NLA06608-4659","SO-SO","Region_6","SPL","MAN-MADE",90,1247,76.32,0.37
"NLA06608-4686","SO-SO","Region_6","CPL","MAN-MADE",84,446,16.8,0.38
"NLA06608-4698","SO-SO","Region_6","CPL","NATURAL",142,1333,104.4,0.63
"NLA06608-4828","SO-SO","Region_6","SPL","MAN-MADE",24,421,4.62,1.23
"NLA06608-4929","TRASH","Region_6","SAP","MAN-MADE",121,954,38.3,0.94
"NLA06608-9999","REF","Region_1","NAP","NATURAL",1,149,1.02,8.55
"NLA06608-ALPS-1218","SO-SO","Region_1","NAP","NATURAL",14,414,1.09,1.04
"NLA06608-ALSC:020149","REF","Region_2","NAP","NATURAL",5,191,3.27,3.7
"NLA06608-ELS:1C2-032","SO-SO","Region_1","NAP","NATURAL",11,264,14.18,1.28
"NLA06608-ELS:1C3-003","REF","Region_1","NAP","NATURAL",9,256,2.72,3.77
"NLA06608-ELS:1D1-035","REF","Region_1","CPL","NATURAL",23,444,31.36,1.52
"NLA06608-ELS:1D2-087","SO-SO","Region_1","CPL","MAN-MADE",35,532,16.8,0.86
"NLA06608-ELS:1E1-052","REF","Region_1","NAP","NATURAL",10,130,1.67,4.5
"NLA06608-ELS:1E1-096","REF","Region_1","NAP","NATURAL",9,236,2.91,2.06
"NLA06608-ELS:1E1-128","SO-SO","Region_1","NAP","NATURAL",8,394,3.15,2.46
"NLA06608-ELS:1E3-012","REF","Region_1","NAP","NATURAL",4,161,1.17,5.28
"NLA06608-ELS:2B2-008","REF","Region_5","UMW","NATURAL",8,299,3.97,1.39
"NLA06608-ELS:2C2-048","SO-SO","Region_5","UMW","NATURAL",8,593,5.64,2.79
"NLA06608-ELS:2C3-018","REF","Region_5","UMW","NATURAL",10,328,5.45,1.94
"NLA06608-ELS:2D3-008","SO-SO","Region_5","UMW","NATURAL",13,722,1.11,5.05
"NLA06608-EMAP:ME011L","SO-SO","Region_1","NAP","NATURAL",13,246,4.35,2.5
"NLA06608-EMAP:ME012L","REF","Region_1","NAP","NATURAL",1,129,0.69,5.64
"NLA06608-EMAP:ME254L","REF","Region_1","NAP","NATURAL",5,204,1.75,3.92
"NLA06608-EMAP:ME263L","SO-SO","Region_1","NAP","NATURAL",11,314,1.84,1.58
"NLA06608-EMAP:ME518L","REF","Region_1","NAP","NATURAL",7,156,2.06,4.59
"NLA06608-FL:107895579","TRASH","Region_4","CPL","NATURAL",33,985,10.53,1.35
"NLA06608-FL:16674741","SO-SO","Region_4","CPL","NATURAL",8,98,1.54,3.4
"NLA06608-FL:18261987","REF","Region_4","CPL","NATURAL",20,474,5.28,1.25
"NLA06608-FL:99324403","SO-SO","Region_4","CPL","NATURAL",24,801,18.72,1.25
"NLA06608-IN:646","SO-SO","Region_5","UMW","NATURAL",4,2089,1.01,1.7
"NLA06608-MI:7007","REF","Region_5","UMW","NATURAL",9,828,2.75,2.84
"NLA06608-MN:03-0029","SO-SO","Region_5","UMW","NATURAL",9,779,2.67,3.75
"NLA06608-MN:06-0002","SO-SO","Region_5","TPL","NATURAL",271,2475,42.26,0.55
"NLA06608-MN:11-0102","REF","Region_5","UMW","NATURAL",9,447,2.47,3.65
"NLA06608-MN:15-0010","SO-SO","Region_5","UMW","NATURAL",9,529,2.87,3.91
"NLA06608-MN:22-0074","SO-SO","Region_5","TPL","NATURAL",62,1175,47.95,0.6
"NLA06608-MN:49-0140","SO-SO","Region_5","UMW","NATURAL",7,595,1.21,6.35
"NLA06608-MN:51-0063","SO-SO","Region_5","TPL","NATURAL",140,1174,25.12,0.25
"NLA06608-MN:56-0306","SO-SO","Region_5","UMW","NATURAL",8,540,5.39,2.45
"NLA06608-MN:61-0037","SO-SO","Region_5","UMW","NATURAL",19,835,7,2.55
"NLA06608-MN:74-0023","SO-SO","Region_5","TPL","NATURAL",34,880,13.54,1.43
"NLA06608-MN:75-0200","SO-SO","Region_5","TPL","NATURAL",446,2647,15.43,0.35
"NLA06608-MN:77-0019","SO-SO","Region_5","UMW","NATURAL",17,1065,12.78,2.18
"NLA06608-MN:87-0030","SO-SO","Region_5","TPL","NATURAL",82,1987,40.03,0.4
"NLA06608-NELP-0253","SO-SO","Region_1","NAP","NATURAL",4,183,1.04,5.92
"NLA06608-NELP-0955","REF","Region_1","NAP","NATURAL",1,118,0.82,6.07
"NLA06608-NELP-1330","REF","Region_1","NAP","NATURAL",1,168,0.82,6.91
"NLA06608-NELP-2155","REF","Region_1","NAP","NATURAL",1,146,0.73,7.37
"NLA06608-NELP-3586","REF","Region_1","NAP","NATURAL",3,138,1.08,6.22
"NLA06608-NH250L","SO-SO","Region_1","NAP","NATURAL",12,292,3.99,2.65
"NLA06608-NH4912","SO-SO","Region_1","NAP","NATURAL",4,177,0.78,7.15
"NLA06608-NV:2","SO-SO","Region_9","XER","NATURAL",11,124,1.29,3.1
"NLA06608-NV:4","TRASH","Region_9","XER","MAN-MADE",154,3225,28,0.08
"NLA06608-OH:19","SO-SO","Region_5","TPL","NATURAL",17,500,5.89,1.9
"NLA06608-OH:22","SO-SO","Region_5","TPL","NATURAL",3,244,1,5.68
"NLA06608-R10BULLTR","REF","Region_10","WMT","NATURAL",3,88,0.7,8.25
"NLA06608-R10CHARLT","REF","Region_10","WMT","NATURAL",1,136,0.2,17.1
"NLA06608-R10COUNCI","REF","Region_10","WMT","NATURAL",1,39,0.68,9.25
"NLA06608-R10FISHLA","SO-SO","Region_10","XER","NATURAL",13,279,7.79,2.9
"NLA06608-R10FOURMI","REF","Region_10","WMT","NATURAL",4,143,2.74,18.1
"NLA06608-R10RAINYL","REF","Region_10","WMT","NATURAL",3,56,0.53,13
"NLA06608-R10SQUAWL","REF","Region_10","WMT","NATURAL",4,150,0.66,9.25
"NLA06608-R10ULAKE","SO-SO","Region_10","WMT","NATURAL",10,312,6.04,2.15
"NLA06608-R10YELLOW","REF","Region_10","WMT","NATURAL",3,36,0.38,18.25
"NLA06608-R31","SO-SO","Region_3","SAP","MAN-MADE",8,1103,2.87,4.2
"NLA06608-R314","REF","Region_3","SAP","MAN-MADE",11,230,3.97,3.26
"NLA06608-R315","REF","Region_3","SAP","MAN-MADE",4,101,2.48,4.21
"NLA06608-R318","REF","Region_3","SAP","MAN-MADE",8,235,5.34,3.94
"NLA06608-R319","SO-SO","Region_3","CPL","MAN-MADE",37,531,12.11,0.46
"NLA06608-R32","SO-SO","Region_3","SAP","MAN-MADE",3,505,1.68,6.9
"NLA06608-R322","REF","Region_3","SAP","MAN-MADE",7,219,2.03,3.11
"NLA06608-R323","SO-SO","Region_3","CPL","MAN-MADE",26,629,15.96,1.05
"NLA06608-R324","REF","Region_3","CPL","MAN-MADE",6,366,4.67,2.4
"NLA06608-R326","REF","Region_3","CPL","MAN-MADE",31,740,27.52,0.65
"NLA06608-R328","REF","Region_3","SAP","MAN-MADE",9,277,2.24,5.81
"NLA06608-R333","REF","Region_3","CPL","MAN-MADE",22,366,8.48,1.47
"NLA06608-R334","SO-SO","Region_3","SAP","MAN-MADE",12,311,8.48,1.65
"NLA06608-R336","SO-SO","Region_3","SAP","MAN-MADE",4,169,12,1.03
"NLA06608-R34","SO-SO","Region_3","SAP","MAN-MADE",3,309,2.51,3.33
"NLA06608-R5:KATHRYN","REF","Region_5","UMW","NATURAL",7,405,4.1,2.34
"NLA06608-R5:OTTAWA","REF","Region_5","UMW","NATURAL",3,148,1.05,7.95
"NLA06608-R7101","SO-SO","Region_7","SPL","NATURAL",363,6880,118.4,0.15
"NLA06608-R7103","TRASH","Region_7","SPL","NATURAL",839,9359,77.2,0.45
"NLA06608-R7106","SO-SO","Region_7","TPL","MAN-MADE",318,1281,30.67,0.53
"NLA06608-R715","SO-SO","Region_7","TPL","MAN-MADE",54,1205,70.27,0.55
"NLA06608-R716","SO-SO","Region_7","TPL","NATURAL",23,544,15.01,1.35
"NLA06608-R723","SO-SO","Region_7","TPL","MAN-MADE",20,380,13.87,1.45
"NLA06608-R728","SO-SO","Region_7","TPL","MAN-MADE",19,333,21.28,0.95
"NLA06608-R730","SO-SO","Region_7","TPL","MAN-MADE",37,513,16.32,0.53
"NLA06608-R733","SO-SO","Region_7","TPL","MAN-MADE",62,637,14.26,0.88
"NLA06608-R736","SO-SO","Region_7","TPL","MAN-MADE",26,389,11.04,1.8
"NLA06608-R746","REF","Region_7","TPL","MAN-MADE",37,408,17.28,1
"NLA06608-R750","SO-SO","Region_7","TPL","MAN-MADE",80,983,35.86,0.7
"NLA06608-R759","TRASH","Region_7","SPL","MAN-MADE",17,611,4.78,1.55
"NLA06608-R764","SO-SO","Region_7","SPL","MAN-MADE",14,350,7.98,1.3
"NLA06608-R767","REF","Region_7","SAP","MAN-MADE",10,203,0.79,3
"NLA06608-R769","SO-SO","Region_7","SAP","MAN-MADE",8,316,1.49,3.9
"NLA06608-R770","REF","Region_7","SAP","MAN-MADE",5,223,2.7,3
"NLA06608-R772","SO-SO","Region_7","SAP","MAN-MADE",16,351,7.6,1.25
"NLA06608-R775","TRASH","Region_7","SAP","MAN-MADE",10,326,5.36,2.4
"NLA06608-R784","REF","Region_7","SPL","MAN-MADE",31,789,6.75,0.95
"NLA06608-R791","TRASH","Region_7","SPL","NATURAL",2147,25638,101.25,0.15
"NLA06608-R792","SO-SO","Region_7","SPL","NATURAL",393,8647,143.6,0.15
"NLA06608-R796","TRASH","Region_7","SPL","NATURAL",495,7925,99.52,0.21
"NLA06608-TX:10","SO-SO","Region_6","SPL","MAN-MADE",63,767,33.55,1
"NLA06608-TX:14","SO-SO","Region_6","SPL","MAN-MADE",16,468,8.16,1.65
"NLA06608-TX:15","SO-SO","Region_6","SPL","MAN-MADE",14,484,3.63,1.45
"NLA06608-TX:19","SO-SO","Region_6","CPL","MAN-MADE",72,1069,8.43,1.55
"NLA06608-TX:22","SO-SO","Region_6","CPL","MAN-MADE",11,258,109.83,0.55
"NLA06608-TX:27","SO-SO","Region_6","SPL","MAN-MADE",69,933,12.58,0.8
"NLA06608-TX:29","SO-SO","Region_6","SPL","MAN-MADE",8,308,3.89,2.55
"NLA06608-TX:30","SO-SO","Region_6","CPL","MAN-MADE",181,1433,80.1,0.45
"NLA06608-TX:5","SO-SO","Region_6","SPL","MAN-MADE",74,683,15.12,1.88
"NLA06608-WI:LOWES","SO-SO","Region_5","TPL","NATURAL",67,1566,149.04,1.4
"NLA06608-WI:SY","SO-SO","Region_5","TPL","NATURAL",49,905,32.9,1.25
